Date,Open,High,Low,Close,Adj Close,Volume
2021-06-17,7.000000,7.400000,6.950000,7.150000,7.150000,49960096
2021-06-18,7.200000,7.500000,6.850000,7.500000,7.500000,273651978
2021-06-21,7.300000,7.850000,7.200000,7.850000,7.850000,108932123
2021-06-22,8.200000,8.200000,8.000000,8.200000,8.200000,79499874
2021-06-23,8.400000,8.500000,7.800000,7.800000,7.800000,213479312
2021-06-24,7.650000,7.700000,7.450000,7.450000,7.450000,46482218
2021-06-25,7.150000,7.800000,7.100000,7.750000,7.750000,159277010
2021-06-28,7.900000,8.100000,7.600000,7.850000,7.850000,88823683
2021-06-29,8.000000,8.000000,7.600000,7.650000,7.650000,45136919
2021-06-30,7.950000,8.000000,7.700000,8.000000,8.000000,58147642
2021-07-01,8.400000,8.400000,8.400000,8.400000,8.400000,10801995
2021-07-02,8.800000,8.800000,8.800000,8.800000,8.800000,5888442
2021-07-05,9.200000,9.200000,9.200000,9.200000,9.200000,3931543
2021-07-06,9.250000,9.450000,8.750000,8.750000,8.750000,250129839
2021-07-07,8.350000,8.500000,8.350000,8.350000,8.350000,29294864
2021-07-08,8.200000,8.750000,8.200000,8.550000,8.550000,117058795
2021-07-09,8.600000,8.750000,8.300000,8.500000,8.500000,50295103
2021-07-12,8.600000,8.650000,8.200000,8.300000,8.300000,40446326
2021-07-13,8.350000,8.400000,7.900000,8.000000,8.000000,43429329
2021-07-14,7.950000,8.200000,7.800000,7.900000,7.900000,47824479
2021-07-15,7.950000,8.250000,7.850000,8.200000,8.200000,87103209
2021-07-16,8.100000,8.150000,7.900000,7.950000,7.950000,27968620
2021-07-19,7.800000,7.950000,7.650000,7.700000,7.700000,41795050
2021-07-20,7.750000,7.800000,7.350000,7.400000,7.400000,34788776
2021-07-22,7.400000,7.650000,7.400000,7.600000,7.600000,24313554
2021-07-23,7.600000,7.650000,7.250000,7.350000,7.350000,27107134
2021-07-26,7.400000,7.600000,7.200000,7.300000,7.300000,34046440
2021-07-27,7.350000,7.400000,6.950000,6.950000,6.950000,79388171
2021-07-28,6.750000,6.800000,6.650000,6.650000,6.650000,67522770
2021-07-29,6.500000,6.550000,6.350000,6.350000,6.350000,57005949
2021-07-30,6.150000,6.550000,6.050000,6.300000,6.300000,191541754
2021-08-02,6.300000,6.600000,6.250000,6.600000,6.600000,54149825
2021-08-03,6.750000,6.900000,6.700000,6.900000,6.900000,32240998
2021-08-04,7.200000,7.200000,6.600000,6.750000,6.750000,160330519
2021-08-05,6.850000,7.050000,6.450000,6.950000,6.950000,72262679
2021-08-06,7.000000,7.000000,6.700000,6.800000,6.800000,39343481
2021-08-09,7.000000,7.000000,6.600000,6.650000,6.650000,21252135
2021-08-10,6.700000,6.750000,6.350000,6.450000,6.450000,25976914
2021-08-11,6.450000,6.500000,6.150000,6.250000,6.250000,41759379
2021-08-12,6.300000,6.550000,6.250000,6.550000,6.550000,27908552
2021-08-13,6.650000,6.650000,6.300000,6.500000,6.500000,30024525
2021-08-16,6.750000,6.800000,6.600000,6.650000,6.650000,42035671
2021-08-17,6.500000,6.550000,6.350000,6.350000,6.350000,28642206
2021-08-18,6.350000,6.400000,6.050000,6.050000,6.050000,59089424
2021-08-20,5.750000,6.050000,5.750000,5.800000,5.800000,36573010
2021-08-23,5.850000,6.050000,5.700000,5.900000,5.900000,37935672
2021-08-24,5.900000,6.150000,5.750000,6.000000,6.000000,41518319
2021-08-25,6.100000,6.250000,5.950000,6.100000,6.100000,29108936
2021-08-26,6.100000,6.150000,5.950000,6.000000,6.000000,15813338
2021-08-27,6.000000,6.100000,5.850000,6.000000,6.000000,17297957
2021-08-30,6.000000,6.300000,6.000000,6.200000,6.200000,46689755
2021-08-31,6.200000,6.250000,5.950000,6.050000,6.050000,25099694
2021-09-01,6.100000,6.200000,5.950000,6.050000,6.050000,17565815
2021-09-02,6.000000,6.350000,6.000000,6.250000,6.250000,67580316
2021-09-03,6.300000,6.300000,6.050000,6.150000,6.150000,23531284
2021-09-06,6.100000,6.250000,6.050000,6.100000,6.100000,13354102
2021-09-07,6.150000,6.150000,5.950000,6.050000,6.050000,21858723
2021-09-08,6.100000,6.200000,6.050000,6.100000,6.100000,18517149
2021-09-09,6.050000,6.400000,6.050000,6.250000,6.250000,37193929
2021-09-13,6.250000,6.450000,6.100000,6.250000,6.250000,23255404
2021-09-14,6.300000,6.550000,6.250000,6.500000,6.500000,41938487
2021-09-15,6.550000,6.750000,6.500000,6.550000,6.550000,31632827
2021-09-16,6.600000,6.650000,6.400000,6.500000,6.500000,20751011
2021-09-17,6.550000,6.650000,6.300000,6.450000,6.450000,48877531
2021-09-20,6.400000,6.750000,6.300000,6.500000,6.500000,56059593
2021-09-21,6.500000,6.600000,6.250000,6.400000,6.400000,22679099
2021-09-22,6.450000,6.550000,6.400000,6.400000,6.400000,13636819
2021-09-23,6.500000,6.550000,6.350000,6.350000,6.350000,15299267
2021-09-24,6.400000,6.450000,6.300000,6.300000,6.300000,15764674
2021-09-27,6.350000,6.400000,6.250000,6.300000,6.300000,13457353
2021-09-28,6.300000,6.350000,6.100000,6.200000,6.200000,24673048
2021-09-29,6.200000,6.500000,6.100000,6.450000,6.450000,46956893
2021-09-30,6.550000,6.700000,6.400000,6.450000,6.450000,27627670
2021-10-01,6.400000,6.650000,6.300000,6.500000,6.500000,22996288
2021-10-04,6.550000,6.800000,6.500000,6.800000,6.800000,42406643
2021-10-05,7.100000,7.100000,6.950000,7.100000,7.100000,31668556
2021-10-06,7.450000,7.450000,6.800000,6.850000,6.850000,156395995
2021-10-07,6.900000,7.150000,6.850000,7.100000,7.100000,56185858
2021-10-08,7.200000,7.350000,7.150000,7.300000,7.300000,41430182
2021-10-11,7.450000,7.650000,7.450000,7.650000,7.650000,86906474
2021-10-12,7.900000,7.950000,7.300000,7.350000,7.350000,108287093
2021-10-13,7.400000,7.500000,7.000000,7.100000,7.100000,47880156
2021-10-14,7.150000,7.250000,7.000000,7.050000,7.050000,43790636
2021-10-18,7.150000,7.400000,7.100000,7.400000,7.400000,66134870
2021-10-19,7.600000,7.600000,7.100000,7.150000,7.150000,40116385
2021-10-20,7.150000,7.200000,6.850000,7.000000,7.000000,26400729
2021-10-21,7.100000,7.250000,7.000000,7.100000,7.100000,20587618
2021-10-22,7.200000,7.250000,7.000000,7.050000,7.050000,16572669
2021-10-25,7.100000,7.150000,6.700000,6.900000,6.900000,20330775
2021-10-26,6.950000,7.150000,6.900000,7.050000,7.050000,16596032
2021-10-27,7.100000,7.100000,6.950000,6.950000,6.950000,10577478
2021-10-28,7.000000,7.000000,6.700000,6.750000,6.750000,22688609
2021-10-29,6.800000,6.850000,6.550000,6.750000,6.750000,17282985
2021-11-01,6.900000,7.050000,6.850000,7.050000,7.050000,15605951
2021-11-02,7.000000,7.150000,6.900000,7.000000,7.000000,18548241
2021-11-03,7.050000,7.150000,6.950000,6.950000,6.950000,11936211
2021-11-04,7.050000,7.150000,7.000000,7.100000,7.100000,7823115
2021-11-08,7.150000,7.400000,7.100000,7.200000,7.200000,26799579
2021-11-09,7.250000,7.250000,7.050000,7.100000,7.100000,16348919
